Tom is ill.	汤姆生病了。
Can I have something to eat?	我能些吃的東西嗎？
Please write with a pencil.	請用鉛筆寫。
There's a back entrance.	有后门。
Do you have any plans for Saturday?	你週六有什麼計劃？
Could you send me a brochure?	你能寄宣傳冊給我嗎？
I don't have any children.	我没有孩子。
She told me she knew my brother.	她告訴我她認識我的哥哥。
Welcome.	欢迎。
I'm Tom's assistant.	我是湯姆的助手。
That woman is very beautiful.	这个女人很漂亮。
Tom has next to nothing in his wallet.	汤姆的钱包里几乎什么都没有。
That's not Tom's fault.	那不是湯姆的錯。
She's busy now and can't speak to you.	她現在忙，沒有辦法跟你們說話。
She did not turn up.	她沒有出現。
I do not agree with you at all.	我完全不赞成你的意见。
He's three inches taller than I am.	他比我高三英寸。
It all depends on the weather.	一切都取決於天氣。
She had to accept her fate.	她该接受她的命运。
Most Americans do not object to my calling them by their first names.	大多数美国人似乎不反对我直呼其名。
Shine your shoes before going out.	出門前把你的鞋子擦亮。
Don't look a gift horse in the mouth.	不要對人家送的禮物挑三揀四，嫌東嫌西的。
Don't let him play with your phone.	別讓他玩你的手機。
A sponge absorbs water.	海绵吸水。
It became quiet again in the forest.	森林裡又再變得安靜下來了。
She succeeded in drawing the truth from him.	她成功地从他口中得知了真相。
I don't think Tom understands what's going on.	我不認為湯姆知道正在發生甚麼。
Is your family doing well?	你的家人好么？
I miss him.	我想念他。
Check, please.	請結帳。
They won't tell us anything.	他們甚麼也不會告訴我們。
Try not to get lost.	尽量别迷路。
Tom almost drowned in the river.	汤姆差点在河里淹死了。
Tom certainly is an interesting person.	汤姆这人确实很有意思。
I have a stupid question.	我有一个挺蠢的问题。
The prince succeeded to the throne.	王子继承了王位。
Tom couldn't go to college because his family didn't have enough money.	因为家里钱不够所以汤姆没能念大学。
He didn't come to the last meeting.	他最後一場會議沒來。
How often do you see him?	您多久见他一次？
I want to be the one who decides.	我想成为决策的人。
May I share this table with you?	我可以跟你共用這張桌子嗎?
Tom is being held captive.	汤姆被囚禁了。
I'll call you as soon as I've finished.	我办完事会立刻联络你。
I didn't believe them.	我不相信他们。
What should be done?	怎么办?
He decided to quit smoking.	他決定戒菸了。
Did you have a good time last night?	你昨天晚上過得好嗎？
A string of disasters struck the region.	一連串的災難襲擊這個地區。
Tom and I are teammates.	湯姆和我是隊友。
He showed me the manuscript of his new play.	他给我看了他最新剧的底稿。
If I had one million yen now, I would buy a car.	如果我现在有100万日元，我会买辆车。
I felt so sleepy that I could hardly keep my eyes open.	我感觉困得几乎不能睁开我的眼睛了。
My opinion is different from yours.	我的看法跟你的不同。
He is very afraid of his mother.	他非常怕他的母親。
How long do you plan on staying in this country?	你打算在这个国家待多久？
I think you need to spend a little more time on your homework.	我觉得你应该多花点时间在作业上。
Who likes beans?	谁喜欢豆子？
Give me five more minutes.	再给我五分钟。
This pear smells nice.	这只梨闻上去很香。
That's very sweet of you.	您真是太好了。
It is rude to point at others.	指著別人是不禮貌的。
I never played golf.	我从没玩过高尔夫。
A little bird told me.	我听传闻说的。
Fasten your seat belt.	系上您的安全带。
Many English words are derived from Latin.	許多英文單字源自於拉丁文。
Tom's car has been stolen.	汤姆的汽车被偷了。
I got out of the taxi.	我從出租車上下來。
I don't like reading at all.	我一点都不喜欢阅读。
I've already tried that.	我已经试过那个了。
They are talking in the kitchen.	他們正在廚房裡說話。
We divided the money between us.	我們平分這筆錢。
He goes to Karuizawa every year.	他每年都去輕井澤。
I looked, but I didn't see anything.	我看過了, 但是沒看到什麼東西。
How much is this pen?	這支筆多少錢?
Do you have any idea where Tom could be?	你知道湯姆能在哪裡嗎？
Money makes the world go round.	金钱万能。
I watch television in the evening.	我在晚上看電視。
This tea is very good.	这杯茶很好喝。
I think a movie is more entertaining than any book.	我觉得一部电影比任何书都有趣。
What time is it? "It is ten-thirty."	几点了?"10点半了。
Tom has to do that right away.	汤姆必须马上去做。
How much does a kilo of bananas cost?	一公斤香蕉多少錢?
It is easy to answer the question.	这个问题很容易回答。
Tom is the only one who has a camera.	汤姆是唯一一个有相机的人。
All of the milk was spilled.	所有的牛奶都溢出去了。
Rabbits have long ears and short tails.	兔子有长耳朵和短尾巴。
Why should anyone be surprised?	为什么任何人应该感到惊喜？
Did you go to the book fair?	你去書展了嗎？
He is proud of having been educated in the United States.	他对自己在美国读过书这件事感到很骄傲。
Are you students at this school?	你是這所學校的學生嗎？
I believe you'll get over it soon.	我相信你很快就能复原。
California and Nevada border on each other.	加利福尼亞州和內華達州相互接界。
It's too early.	太早了。
What are we having for supper?	晚饭我们吃什么？
How was your exam?	考得如何？
He accelerated.	他提速了。
Tom followed Mary into the room.	汤姆跟着玛丽进入了房间。
I have to take medicine.	我必须吃药。
Can you just please go?	我能請你離開嗎？
I have to get my computer repaired.	我必須把我的電腦拿去給人家修理。
Where have you been? "I've been to the barber's."	你去哪儿了？我去了理发店。
He doesn't lie.	他不说谎。
You'd better stay in bed for a few days.	这几天你最好还是别下床。
She speaks relatively fast.	她说话相当快。
All you can do is wait.	所有你能做的就是等待。
Tom wanted to follow in his father's footsteps.	汤姆想追随他父亲的脚步。
I'm used to staying up late at night.	我习惯晚睡。
He predicted there would be rain.	他预测会下雨。
Tom has just remodeled his kitchen.	汤姆刚改建了他的厨房。
I went to three funerals last month.	上个月我参加了三场葬礼。
She was very proud of her father.	她非常地以她父親為榮。
What is it you want to know?	你想知道什麼？
Which do you prefer, rice or bread?	你比較喜歡哪一個，米飯還是麵包？
I'm not as optimistic as you are.	我没有你那么乐观。
Where's the nearest church?	最近的教堂在哪里？
Is Tom Canadian?	Tom是加拿大人嗎?
She asked me if anything was the matter.	她问我是不是发生了什么事。
I'd like three pounds of chicken.	我要三磅的雞肉。
Everyone noticed.	所有人都注意到了。
Tom is a little drunk, isn't he?	汤姆是不是有点醉了？
There's a soccer match tomorrow.	明天有一場足球比賽。
They all looked for the lost child.	他們都在尋找這個失蹤的孩子。
Would you lend me your dictionary?	你可以借我你的字典嗎?
School was closed for the day due to the snow.	学校因大雪停课一天。
I wish I had seen her.	但願我見過她。
He lives alone.	他一个人生活。
I was barely able to work.	我几乎不能工作了。
They should all be fired.	他們全部都應該被開除。
He must finish his homework today.	他今天必須完成他的功課。
I don't like these remarks.	我不喜歡這番話。
Please answer my question.	請回答我的問題。
Tom will never see you again.	汤姆再也不会见你了。
Tom ran out of matches so he couldn't light the fire.	汤姆用尽了火柴，不能点火了。
The storm had a serious effect on the economy.	这场暴风雪已经对经济造成了很严重的影响。
Haven't we met before?	我们以前没见过吗？
He is not a high school student.	他不是個高中生。
Is this seat available?	这个位子空着吗？
My father is in his room.	我父親在他的房間裡。
His influence extends all over the country.	他的影響遍及全國。
Please help me clean the house.	請幫我打掃房子。
Who are you waiting for?	你在等誰?
I don't know about you, but I'm starving.	我不知道你怎么样，但我饥肠辘辘。
Keep it at a lower temperature.	保持在較低的溫度。
Everyone knows me.	大家都認識我。
That shouldn't be hard for you.	那对你来说应该不难。
I'm studying economics in college.	我正在大学里读经济。
You'll be able to see the difference very easily.	您很容易就能看出区别。
What are you reading?	你在看什麼？
